GITB|660,428|424,450|Tue, 10 September 2019 06:05:00|58QV-Q26X
LBCA|476,255|413,615|Tue, 10 September 2019 06:09:00|278NV-Y69K
CHAI|955,937|669,285|Tue, 10 September 2019 06:15:00|665PP-G26P
JOVB|287,303|45,136|Tue, 10 September 2019 06:20:00|455YS-Y87A
JPGJ|499,861|139,922|Tue, 10 September 2019 06:25:00|719LB-P11O
JMEO|734,677|692,933|Tue, 10 September 2019 06:27:00|888SR-R33K
VBLF|416,804|560,349|Tue, 10 September 2019 06:29:00|808OT-N84S
CCCK|881,419|776,192|Tue, 10 September 2019 06:33:00|794XX-J29C
PCNG|493,045|405,119|Tue, 10 September 2019 06:37:00|554CO-O42U
JSOR|227,445|96,858|Tue, 10 September 2019 06:39:00|86AS-X24A
RMTP|410,620|240,213|Tue, 10 September 2019 06:42:00|545MN-A9T
JSOR|970,611|747,403|Tue, 10 September 2019 06:47:00|4SA-N56R
JGLM|670,442|209,115|Tue, 10 September 2019 06:49:00|325ES-B43X
ANGL|877,709|972,562|Tue, 10 September 2019 06:51:00|218HL-X74M
JPGJ|632,239|394,522|Tue, 10 September 2019 06:55:00|465OI-L88A
ADDA|947,975|543,102|Tue, 10 September 2019 06:58:00|6CI-O95W
RCSG|455,804|353,198|Tue, 10 September 2019 07:00:00|588LZ-R63P
JABT|284,782|892,553|Tue, 10 September 2019 07:03:00|117CE-V59Y
JOHD|753,099|415,654|Tue, 10 September 2019 07:09:00|788CH-G63N
QUIY|587,416|860,973|Tue, 10 September 2019 07:13:00|815VY-U49X
MEGS|243,377|8,716|Tue, 10 September 2019 07:16:00|677PA-R35F
RFTX|603,374|258,248|Tue, 10 September 2019 07:18:00|967ZC-N67R
KVNY|510,814|475,554|Tue, 10 September 2019 07:20:00|115KB-Q79K
VBTC|327,448|212,477|Tue, 10 September 2019 07:23:00|129VY-P25O
JLJM|400,274|564,299|Tue, 10 September 2019 07:24:00|491QB-A96E
JDIP|718,563|934,247|Tue, 10 September 2019 07:26:00|504MD-P57I
SDCD|203,249|790,864|Tue, 10 September 2019 07:29:00|142CC-F67R
RRRQ|716,425|421,536|Tue, 10 September 2019 07:32:00|677ZZ-M19U
SOLM|346,408|171,954|Tue, 10 September 2019 07:37:00|471OH-C25Q
PCRI|152,535|265,208|Tue, 10 September 2019 07:42:00|515JA-E40S
ETDY|239,421|192,241|Tue, 10 September 2019 07:43:00|892AV-L13F
ESNU|709,335|362,709|Tue, 10 September 2019 07:44:00|868FQ-C51X
MCFC|383,497|650,122|Tue, 10 September 2019 07:46:00|527LX-I3K
MVEU|12,544|254,243|Tue, 10 September 2019 07:49:00|494LX-M77S
RMRW|370,997|40,369|Tue, 10 September 2019 07:52:00|2MN-W26T
RCSG|261,647|732,710|Tue, 10 September 2019 07:55:00|75KM-G88Q
